,QQQ,SPY,TLT
2017-12-18,1.5883819885990722,1.3875711591120863,1.0733571499342682
2017-12-19,1.578970273956006,1.3822424885486166,1.0594320016666872
2017-12-20,1.5772686217640752,1.3815180490990004,1.0477008561976013
2017-12-21,1.5774686549524988,1.384362888824508,1.0538070861837066
2017-12-22,1.5756664220115137,1.3840010727121206,1.0552449237073336
2017-12-26,1.5671559044324892,1.3823459030200052,1.0583742006959331
2017-12-27,1.5673557764338146,1.3830185006964533,1.0721598068359168
2017-12-28,1.5692584289367562,1.3858636094969081,1.0712293360212668
2017-12-29,1.5595461003562123,1.3806380843298802,1.0729207754862393
2018-01-02,1.5868800472213689,1.3905196823839299,1.0613341383464916
2018-01-03,1.6022993661881497,1.3993152042592745,1.066409108046555
2018-01-04,1.6051030545680347,1.4052128786445055,1.0662396872953706
2018-01-05,1.6212232150362382,1.4145774940332605,1.0631947543232185
2018-01-08,1.6275309497361372,1.4171642908843662,1.0625178854499135
2018-01-09,1.6276313692980935,1.42037202302205,1.0483098265094033
2018-01-10,1.6238262254793085,1.4181987943648502,1.0470408398449573
2018-01-11,1.6349403982497948,1.4285462508442202,1.0513544338289822
2018-01-12,1.6469552845230289,1.4378591141514558,1.0531299730709722
2018-01-16,1.6422494272014958,1.4329441014735413,1.0575282367240173
2018-01-17,1.659971626235163,1.4466022561037382,1.0560904806135334
2018-01-18,1.6602720789855427,1.4441709845721367,1.0462799526077788
2018-01-19,1.665478583432977,1.4507413463254648,1.0407819602151858
2018-01-22,1.6833005572802093,1.462537143554172,1.0417974263514294
2018-01-23,1.6972180960563852,1.4656416406037653,1.0462799526077788
2018-01-24,1.6862041816607574,1.4650718295571623,1.0406131907691474
2018-01-25,1.6856035985341935,1.4656929442270388,1.0491555462418898
2018-01-26,1.7114357652087449,1.482662604232905,1.045265056363538
2018-01-29,1.7031254420052417,1.4728326685687247,1.037991280489525
2018-01-30,1.6891078060413054,1.4577252762726993,1.0319020658503673
2018-01-31,1.6961165434297245,1.4584496260306663,1.037991280489525
2018-02-01,1.6816983575276478,1.4567941872636037,1.0229476784594396
2018-02-02,1.648156611963255,1.4250801170655374,1.0134562085622345
2018-02-05,1.5831753229645404,1.3654796574855275,1.0230329994336065
2018-02-06,1.6251282948556864,1.3923825779353134,1.016676831097604
2018-02-07,1.604101760316233,1.3848295544746685,1.0070144750126349
2018-02-08,1.536417041312492,1.3328855328266924,1.0059131994233645
2018-02-09,1.5629503718626616,1.3529075790340361,0.9995568682610756
2018-02-12,1.590684546291763,1.3727745483801213,1.0039634360547363
2018-02-13,1.5988952558687992,1.3761891991522317,1.008455650475137
2018-02-14,1.628832374364124,1.3947624561519922,0.9972684262163648
2018-02-15,1.6590704291711222,1.4125595216206175,1.0006583880897757
2018-02-16,1.6516604970961712,1.4129736279644183,1.006082701587692
2018-02-20,1.654965154976153,1.4041263540075544,1.0016754824888854
2018-02-21,1.6502594588417179,1.3971423343686709,0.9893864941619833
2018-02-22,1.6500591032790988,1.3989531190719395,0.9923530262771482
2018-02-23,1.6838015267803066,1.4212516290245734,1.0011670574090457
2018-02-26,1.7061286800122568,1.4377550718385232,1.0015057360851278
2018-02-27,1.6850030154076299,1.4198027501253412,1.000065700406632
2018-02-28,1.6741892953875235,1.40541997666223,1.006421217437488
2018-03-01,1.6468555097094646,1.3849844519526293,1.0132917540127904
2018-03-02,1.6619738923645722,1.392123369069473,1.005054372174809
2018-03-05,1.6803972552738575,1.4082136921477624,1.0023368828649653
2018-03-06,1.687505445101646,1.4117837785477276,1.0032707730316335
2018-03-07,1.691410524921094,1.4112661680408893,1.002166892221778
2018-03-08,1.7007224647505952,1.418095379893461,1.007941770714697
2018-03-09,1.7337637243761848,1.4427740371377211,1.0013179973767035
2018-03-12,1.7429750834566315,1.440962893667856,1.0070923059776193
2018-03-13,1.7192452800992495,1.431650389127216,1.0121879546160781
2018-03-14,1.7189449885359676,1.4243036564594547,1.021104891961093
2018-03-15,1.7174430471582642,1.422751901238728,1.021104891961093
2018-03-16,1.7123371234598843,1.4242945976028976,1.0174530240057214
2018-03-19,1.6758021334885427,1.4050234498816485,1.0142258070057453
2018-03-20,1.681317955976738,1.407413283871375,1.0101491252686916
2018-03-21,1.673997321553992,1.4047116817094476,1.0112536573836937
2018-03-22,1.6326789432670548,1.3695978495530183,1.0212743941254205
2018-03-23,1.5896552054849362,1.340405370377177,1.02051000612308
2018-03-26,1.6487247964831526,1.3770779537029612,1.0166038035080736
2018-03-27,1.5953718670970443,1.3536510331132565,1.0274739235737347
2018-03-28,1.5770197488850057,1.3496515030974978,1.0301910872310052
2018-03-29,1.6059015754507509,1.3668967855409853,1.0352016591347268
2018-04-02,1.5595691501112043,1.3373928072678902,1.0372443148998478
2018-04-03,1.577119362511473,1.3545341370900947,1.029244252374554
2018-04-04,1.6019902093344873,1.369026424056732,1.0271170083535555
2018-04-05,1.6111169451885667,1.379830859488162,1.0194577412460692
2018-04-06,1.5708016342115079,1.3490800776012117,1.030606050022349
2018-04-09,1.5818331180008007,1.3557286504725374,1.0323081546090924
2018-04-10,1.6167331872387185,1.3772853207956335,1.0304360593791615
2018-04-11,1.607406257009118,1.3700653224280215,1.0340953359305725
2018-04-12,1.6267620872794264,1.3813368719678585,1.0265214712103963
2018-04-13,1.6183371600493566,1.3772853207956335,1.028904026848749
2018-04-16,1.6306724862731032,1.3886089811835858,1.0292442523745537
2018-04-17,1.665773233447836,1.4034654162454865,1.0320526801654513
2018-04-18,1.6691831465027094,1.4045038661585307,1.0237982829805226
2018-04-19,1.6538391019106211,1.3967123526029832,1.015457506450564
2018-04-20,1.6276640902789572,1.384869287875211,1.0081386276951692
2018-04-23,1.6235523686000743,1.3846613826326442,1.008393776486237
2018-04-24,1.5891537524235468,1.3660139506390947,1.0037980045475727
2018-04-25,1.5910593062942497,1.3693903927686977,0.9970751514141968
2018-04-26,1.6245552747228553,1.3833112542390484,1.0040534789912134
2018-04-27,1.6255583420327337,1.384609540859476,1.0117982298991532
2018-04-30,1.6140249216207572,1.3739610792057955,1.01358581828635
2018-05-01,1.6324777817689478,1.376402665277041,1.0099348458755546
2018-05-02,1.6228505599760652,1.3671569810149657,1.0088260802771016
2018-05-03,1.622650365600544,1.3641439694474335,1.0133467892976538
2018-05-04,1.6534380684111876,1.3818046139178088,1.014881589874938
2018-05-07,1.66717797900554,1.3864797014344354,1.0132612240840568
