,QQQ,SPY,TLT
2022-05-12,-0.27751099890088693,-0.17615513319582154,-0.2954033826252237
2022-05-13,-0.2507354864524487,-0.15645894751013412,-0.305817820189348
2022-05-16,-0.25942082810648703,-0.1598817123670756,-0.3065361903344155
2022-05-17,-0.2402386890416095,-0.14260001055075455,-0.3149156246801734
2022-05-18,-0.2775356963340314,-0.177163143303959,-0.30031128491884873
2022-05-19,-0.2814067471523397,-0.18220285524534718,-0.2986353346127868
2022-05-20,-0.28364015622446803,-0.181845768426388,-0.29067490105956695
2022-05-23,-0.2717290036092428,-0.16653796507375374,-0.3023465524576743
2022-05-24,-0.2872135175420123,-0.17290051674993212,-0.2885799499609665
2022-05-25,-0.27723777383861514,-0.16559327303421667,-0.28576678730957417
2022-05-26,-0.25721227179727135,-0.1489205759140647,-0.2889988978894129
2022-05-27,-0.23296785792172525,-0.1280273062726136,-0.2872633697517598
2022-05-31,-0.23500283321497228,-0.13291993067924357,-0.30234655245767394
2022-06-01,-0.24066056469205277,-0.1399332702048809,-0.30314369009969855
2022-06-02,-0.21986555897902393,-0.12355468043438578,-0.3027840556823833
2022-06-03,-0.24016413075287124,-0.13793837858476,-0.3042830170087054
2022-06-06,-0.237633032179979,-0.13531369227161405,-0.31711445371939173
2022-06-07,-0.23105714644304176,-0.12701956704391448,-0.30973954284825056
2022-06-08,-0.23659076943532675,-0.13651057306779912,-0.31585528391400763
2022-06-09,-0.2570386131164186,-0.15704695904986954,-0.3135768944164533
2022-06-10,-0.2832430556720531,-0.18148874932728865,-0.31783403973857327
2022-06-13,-0.31656983408916817,-0.21256627319396793,-0.33923971497373384
2022-06-14,-0.3153289045709826,-0.21493904162990396,-0.3475741619772702
2022-06-15,-0.29823129099540924,-0.20374698045611705,-0.3354023105414391
2022-06-16,-0.3265451894681449,-0.2300998251676395,-0.3301258926630569
2022-06-17,-0.3183562817532881,-0.2284402145717297,-0.32796708174142
2022-06-21,-0.30115886880164366,-0.20901714307926467,-0.33935955787011074
2022-06-22,-0.3021782204054856,-0.21045117882329623,-0.32119170253671603
2022-06-23,-0.2917855716042276,-0.20271154380489642,-0.3156155452571614
2022-06-24,-0.26751964455578536,-0.177362646009943,-0.32508931916970485
