,Strategy A,Strategy B,Strategy C,Max Sharpe,Min Volatility
2015-08-05,-0.015178102355737133,-0.013495720704409075,-0.02245388047029373,-0.014746000144109539,-0.03516880794178423
2015-08-06,-0.030970611848798346,-0.025443984237688233,-0.0237847122595517,-0.03031194781121671,-0.03396529004034743
2015-08-07,-0.03219862913305649,-0.02699715599660002,-0.019787086829280764,-0.03141169332277527,-0.027777971519951206
2015-08-10,-0.021144444871921353,-0.015310618112524432,-0.017232991482483917,-0.020561882079668692,-0.02897591210438788
2015-08-11,-0.03369016042184858,-0.02606356566361967,-0.01631138658749587,-0.03285136864255933,-0.024357866453310395
2015-08-12,-0.030356639433505084,-0.023800108488246874,-0.017749056486518366,-0.02959646044163078,-0.02677667886816848
2015-08-13,-0.03193540494321012,-0.025202312818040862,-0.01974936858911247,-0.031190583920401416,-0.029054961391547507
2015-08-14,-0.030443946108089537,-0.022676071211289006,-0.016687509260241873,-0.029689287995227298,-0.02621851524961849
2015-08-17,-0.022372389702507545,-0.01587796651352591,-0.01161447256974013,-0.021647652282808516,-0.021350591229075566
2015-08-18,-0.02737328704123354,-0.01982029471096569,-0.016443866485162162,-0.02667574715757426,-0.026882953153252398
2015-08-19,-0.033777612003776936,-0.026921710333104087,-0.017223832542249462,-0.03293677794203487,-0.024996107681488078
2015-08-20,-0.06053721644440435,-0.050556202120773386,-0.025566924189089235,-0.05937550873834563,-0.02864502790088197
2015-08-21,-0.10159700209891065,-0.08559437612199028,-0.0419911371755205,-0.1000687798251646,-0.04009738358030135
2015-08-24,-0.13616435912589897,-0.12243735592905824,-0.06631595295499781,-0.1343783100834579,-0.05830620413235044
2015-08-25,-0.13941050098598606,-0.1292495672202193,-0.07890789966067313,-0.13773504518484425,-0.07161653371022203
2015-08-26,-0.09606951147314802,-0.09060755057717984,-0.0648015308000186,-0.0948749507536053,-0.06560661779277865
2015-08-27,-0.0731708907519627,-0.06784220826005738,-0.050707402939303314,-0.07215458531267571,-0.05498995045933408
2015-08-28,-0.07334630109152207,-0.06790689193921096,-0.049558235022497565,-0.07230297054844614,-0.05342549490415438
2015-08-31,-0.08483948215042214,-0.07745258953923384,-0.057086341479121505,-0.08376556285730574,-0.06087121866374745
2015-09-01,-0.11344071402224176,-0.1056365719623037,-0.07125474126111309,-0.11207216144682386,-0.06964185467888362
2015-09-02,-0.08843651714329948,-0.08453638849632805,-0.06387417250228788,-0.08733875636560873,-0.06617652378044558
2015-09-03,-0.09291111100967608,-0.08645537349202426,-0.061645711475740717,-0.09173213374249845,-0.06336464114196105
2015-09-04,-0.10370257825666773,-0.09880348194018906,-0.06674095531176583,-0.10236234328913307,-0.06495642990895567
2015-09-08,-0.07843501228053518,-0.07477667789923548,-0.05817631583058214,-0.07741698777382566,-0.062097246897891534
2015-09-09,-0.08878762763710535,-0.08615930595582322,-0.0639246189469852,-0.08764506447585829,-0.06520216924271649
2015-09-10,-0.07887357435626907,-0.07870175985563921,-0.0633965719627787,-0.07787152248871476,-0.06641747062511005
2015-09-11,-0.07378486316725574,-0.07406363151948114,-0.058482611132561146,-0.07277127617413748,-0.061266350433431094
2015-09-14,-0.07659251540528067,-0.07718470869263938,-0.05998899822093806,-0.07554286302961666,-0.062007009105864985
2015-09-15,-0.0657133792153457,-0.06598146589391007,-0.06014527105707079,-0.06491659599127086,-0.06672395948110055
2015-09-16,-0.060449257686773006,-0.059302690660054225,-0.056676762858231644,-0.05972767692779757,-0.06506650090950761
2015-09-17,-0.06009829210031081,-0.06018436016996076,-0.053343543927961146,-0.059274864634287217,-0.059684572286193505
2015-09-18,-0.07346621191844072,-0.07454682108726551,-0.056799786814074715,-0.07239722165264229,-0.05853426816080809
2015-09-21,-0.07056429745333326,-0.07070625498245076,-0.060024482537014645,-0.069658021548337,-0.06485883962276862
2015-09-22,-0.08445989736357773,-0.08368397059984045,-0.062116988595483646,-0.08331653284209861,-0.0630832932506703
2015-09-23,-0.08375651711721621,-0.08406442024996086,-0.06304749804025322,-0.08262106175546646,-0.06379150867050087
2015-09-24,-0.08709815291680734,-0.08739043616109332,-0.0625254969302087,-0.08587766697389021,-0.06177052217822476
2015-09-25,-0.09483772659795309,-0.09137741943441091,-0.06591360010392644,-0.09362366262103383,-0.06638059958369269
2015-09-28,-0.12060659952964548,-0.11571306757874011,-0.07358502921099053,-0.11904119157897342,-0.06800198835434113
2015-09-29,-0.12518009265810282,-0.11775368878223202,-0.07221057239273232,-0.1235534786506558,-0.06630574581203941
2015-09-30,-0.10503985567808205,-0.09936765280044291,-0.06311139656278353,-0.10359416010919631,-0.06031470845199871
2015-10-01,-0.10099447736377021,-0.09615708045048843,-0.06004574638539506,-0.09954558079541254,-0.05699825996970698
2015-10-02,-0.08525152618225751,-0.08149263727084144,-0.049343532329320317,-0.08387469449740914,-0.04754341493285741
2015-10-05,-0.07214733772967719,-0.06674119431658732,-0.044352710201778,-0.07098585920499145,-0.047134351644782746
2015-10-06,-0.07654447862084157,-0.07055128597235671,-0.04466837127785761,-0.07530952627703413,-0.046318627230785614
2015-10-07,-0.07100380142680107,-0.06395671603934938,-0.04124328020341961,-0.06984006134600029,-0.04458824058010413
2015-10-08,-0.06730989587465452,-0.05787107399085112,-0.039262407998396975,-0.06624488617915736,-0.045173912434704366
2015-10-09,-0.0630885275914087,-0.05545808365891425,-0.03791020464906014,-0.062037805945208135,-0.04352733738960879
2015-10-12,-0.06080196216135947,-0.05385972819640672,-0.034438711485322515,-0.05970468555254005,-0.03909583809526962
2015-10-13,-0.06687039190118638,-0.05989766907206484,-0.03743121996652554,-0.06570877991281332,-0.040892835050977405
2015-10-14,-0.0683654734198994,-0.06290436602194271,-0.036831096929230034,-0.0671180131933411,-0.03829590336209787
2015-10-15,-0.053062388480213496,-0.04801363906059364,-0.029845289567099975,-0.051979924406751477,-0.03430987147608733
2015-10-16,-0.04910482401618954,-0.04386008359273974,-0.0270732225143826,-0.04805154123860622,-0.032177292811779834
2015-10-19,-0.043652250487123956,-0.04088359272469766,-0.027853961643915737,-0.04267144277002466,-0.033427432679299485
2015-10-20,-0.0485770714704028,-0.04396635656687331,-0.030990873956243004,-0.0476075604188283,-0.037274536518076884
2015-10-21,-0.05438198720569565,-0.04984813571940472,-0.03074775250137496,-0.053276633487209124,-0.03464781823951191
2015-10-22,-0.035121047987298426,-0.03214575549272314,-0.020266834416748036,-0.03415973768550362,-0.026457181438620525
2015-10-23,-0.008120824902442592,-0.013299213989891756,-0.01716596504156387,-0.007471871074751113,-0.026265518445384273
2015-10-26,-0.00750569322839989,-0.014205840922116297,-0.01599884906912641,-0.006802875635046668,-0.02374237181629646
2015-10-27,-0.005482424441869194,-0.014153445840229928,-0.01615572333877835,-0.004776727805840042,-0.023228057376181166
2015-10-28,0.0,-0.004449320923610056,-0.011024105857287747,0.0,-0.020446662591361298
2015-10-29,-0.0015786445924721448,-0.005520967627480888,-0.017658206815938216,-0.0017110261245339986,-0.029325264441363075
2015-10-30,-0.0060512903065919055,-0.009891436732981873,-0.01723192249702865,-0.006071423105422635,-0.027136847079884507
2015-11-02,0.0,0.0,-0.012062067029206647,0.0,-0.02447345909787524
2015-11-03,0.0,0.0,-0.013583881122548491,0.0,-0.027637726241079963
2015-11-04,0.0,-0.0014731963113544522,-0.014922508365900922,0.0,-0.028327263107312595
2015-11-05,-0.002695150791355294,-0.0033171649562502292,-0.016553840975969236,-0.00269345574012525,-0.030184131929064106
2015-11-06,-0.001999535588037893,-0.0032305453607965884,-0.022628015693647585,-0.0021409199361848152,-0.038276673109686854
2015-11-09,-0.012606593074130923,-0.013178068481910055,-0.03030112319499778,-0.012699229100505693,-0.045282221306982784
