,Max Sharpe Portfolio,Min Volatility Portfolio
2017-01-26,0.0,-0.05600830869875606
2017-01-27,0.0,-0.05478017152694492
2017-01-30,-0.007744605167144147,-0.058973921357030945
2017-01-31,-0.009648159635870623,-0.05538877245136764
2017-02-01,-0.002935956074612278,-0.05844612515140546
2017-02-02,-0.0038050116455725647,-0.05838960494672085
2017-02-03,-0.0009710671578305741,-0.055716520660307745
2017-02-06,0.0,-0.05330371957529545
2017-02-07,0.0,-0.04942817272319777
2017-02-08,0.0,-0.041716339455771134
2017-02-09,0.0,-0.045299744839575884
2017-02-10,0.0,-0.04392483378493961
2017-02-13,0.0,-0.04326681381007691
2017-02-14,0.0,-0.04538832076762411
2017-02-15,0.0,-0.04559427595898302
2017-02-16,-0.0002563011994148878,-0.04306963535937325
2017-02-17,0.0,-0.039247918564609297
2017-02-21,0.0,-0.037623250318922
2017-02-22,0.0,-0.037115934930729066
2017-02-23,-0.0036890883915782213,-0.035236121940690146
2017-02-24,-0.0016888832476039672,-0.028758615447090907
2017-02-27,-0.0005283847558135157,-0.03125393436294577
2017-02-28,-0.0035303632876585445,-0.03043216348764799
2017-03-01,0.0,-0.03337038238789225
2017-03-02,-0.005009364936253924,-0.038012216380846175
2017-03-03,-0.0031769740672934477,-0.0363534437125107
2017-03-06,-0.005407821788070866,-0.04018102911678234
2017-03-07,-0.007094733141645326,-0.04306974074731096
2017-03-08,-0.005413494488543558,-0.04672023698820693
2017-03-09,-0.004733208896195662,-0.0503928335912428
2017-03-10,-0.0005564588890406563,-0.04706160295127859
2017-03-13,0.0,-0.050174046900226865
2017-03-14,-0.002365329444411368,-0.049268271314828915
2017-03-15,0.0,-0.039169928736998094
2017-03-16,-0.0007224861645305225,-0.04270489625553586
2017-03-17,-0.0010111165760957608,-0.040128027768327246
2017-03-20,-7.111758143307778e-05,-0.038311030012496694
2017-03-21,-0.015023487944257674,-0.03940389748616857
2017-03-22,-0.00837495659929588,-0.036264067002792943
2017-03-23,-0.010867289573204375,-0.0374772583137466
2017-03-24,-0.008806780785162172,-0.03588358575197226
2017-03-27,-0.0071882596625548745,-0.033893601145660646
2017-03-28,-0.0012349153181051564,-0.034323301536398176
2017-03-29,0.0,-0.030724354878302718
2017-03-30,0.0,-0.03368205359503862
2017-03-31,-0.0006473022581621191,-0.03312835093644595
2017-04-03,-0.0011528389150011753,-0.02847911756680932
2017-04-04,0.0,-0.03111858001030965
2017-04-05,-0.004008196449381218,-0.030766125190281324
2017-04-06,-0.0034968312950788283,-0.03034830087763074
2017-04-07,-0.004058058217732308,-0.03295920684684717
2017-04-10,-0.003640876703043472,-0.03021895302672284
2017-04-11,-0.007812879592900224,-0.02564806513738027
2017-04-12,-0.01172609095530619,-0.024601755424109695
2017-04-13,-0.015588538765022864,-0.025759761425473537
2017-04-17,-0.007538821872231427,-0.023566518839065687
2017-04-18,-0.008914844285708545,-0.017796168480098573
2017-04-19,-0.007396837408715773,-0.021562065942340447
2017-04-20,0.0,-0.02010271617230186
2017-04-21,-0.00022644698135143582,-0.021492716740778905
2017-04-24,0.0,-0.01936100202108204
2017-04-25,0.0,-0.02334650992571896
2017-04-26,-0.0013415000572957192,-0.020639423304475102
2017-04-27,0.0,-0.0204428024990867
2017-04-28,0.0,-0.02019127075758209
2017-05-01,0.0,-0.023588528010504484
2017-05-02,0.0,-0.020654551081135453
2017-05-03,-0.0031642520467223267,-0.02083207480688898
2017-05-04,-0.0028488631511180973,-0.022990446305440337
2017-05-05,0.0,-0.02078263084904275
2017-05-08,0.0,-0.02380141815684511
2017-05-09,0.0,-0.024240229993233164
2017-05-10,0.0,-0.024086616762455493
2017-05-11,-0.0007886223390840552,-0.024974810347363374
2017-05-12,0.0,-0.021620571469292194
2017-05-15,0.0,-0.02068300324495398
2017-05-16,0.0,-0.019061219149746456
2017-05-17,-0.025049487594519748,-0.01893353221722638
2017-05-18,-0.01659514653921068,-0.01654576154623233
2017-05-19,-0.012454996979192834,-0.012413971693756243
2017-05-22,-0.004248966156190859,-0.011673046899811301
2017-05-23,-0.003317049744794298,-0.014378809127493009
2017-05-24,0.0,-0.010277032428370081
2017-05-25,0.0,-0.007981877763542866
2017-05-26,0.0,-0.007135307943022751
2017-05-30,0.0,-0.004802830447405149
2017-05-31,-0.0003271688331756284,-0.0035370960018711317
2017-06-01,0.0,0.0
2017-06-02,0.0,0.0
2017-06-05,-0.00026538914689211435,-0.0037654051334362615
2017-06-06,-0.004150144994954252,-0.0021846873270697786
2017-06-07,-0.0003286676313739578,-0.003997485894219555
2017-06-08,0.0,-0.005234315048074478
2017-06-09,-0.024770609531958643,-0.0067818627467968184
2017-06-12,-0.02994703420292777,-0.007057123957510902
2017-06-13,-0.022147707550251416,-0.0047962469445616
2017-06-14,-0.02621579265773788,0.0
2017-06-15,-0.03050796878854012,-0.0017395146776644221
2017-06-16,-0.03465443851842509,-0.0005535151375026803
2017-06-19,-0.01868146932778636,0.0
2017-06-20,-0.02621298595348709,0.0
2017-06-21,-0.016647943003663457,0.0
2017-06-22,-0.01690499872774942,0.0
2017-06-23,-0.01317301509104074,0.0
2017-06-26,-0.017703298459580852,0.0
2017-06-27,-0.03544664998894409,-0.009524026991753365
2017-06-28,-0.021702638306362765,-0.0073729796136551284
2017-06-29,-0.03859339386681604,-0.015885469745252956
2017-06-30,-0.03826706591035567,-0.01632814610167055
2017-07-03,-0.04832464205546494,-0.017353920243791898
2017-07-05,-0.039051082074564425,-0.01619778182987419
2017-07-06,-0.04770892096030632,-0.0247198941788217
2017-07-07,-0.03758830383545264,-0.025125844723911106
2017-07-10,-0.03135024596660496,-0.023859100963648294
2017-07-11,-0.02863798998351874,-0.02325456258499492
2017-07-12,-0.017159370646060434,-0.016238262084874333
2017-07-13,-0.015071847829650653,-0.01892614508654833
2017-07-14,-0.00738170916545644,-0.01621716135274809
2017-07-17,-0.0068722148189673815,-0.014768876814182708
2017-07-18,-0.00022230951045965064,-0.009764406960792948
2017-07-19,0.0,-0.0071505684127319835
2017-07-20,0.0,-0.0053666759600231595
2017-07-21,-0.0003731899387153792,-0.003429920937754516
2017-07-24,0.0,-0.0056815826204345
2017-07-25,-0.0026495910973962644,-0.0117750400437161
2017-07-26,0.0,-0.010867575546866792
2017-07-27,-0.006265165897826663,-0.013984035812879214
2017-07-28,-0.007031320519478079,-0.011264979917226747
2017-07-31,-0.011189244586651825,-0.010857814614171457
2017-08-01,-0.00886824068667913,-0.006029420073958236
2017-08-02,-0.00619681746246914,-0.00550172840569485
2017-08-03,-0.009930158955231416,-0.0006718210275137304
2017-08-04,-0.008229746724266684,-0.004556202381245877
2017-08-07,-0.0019985063939966796,-0.003105828810478717
2017-08-08,-0.0037418291143571647,-0.006185542951614886
2017-08-09,-0.00498983419070731,-0.0032037095054567866
2017-08-10,-0.026041573846479538,-0.004784105901079583
2017-08-11,-0.018720450353592155,-0.0038574151264716416
2017-08-14,-0.006249757251037935,-0.0022794744071410467
2017-08-15,-0.005605003901971273,-0.004659703152608774
2017-08-16,-0.0038612006345225547,-0.0018608681594878274
2017-08-17,-0.023966590818049416,-0.004684260389829498
2017-08-18,-0.024653611741341508,-0.005508202851776001
2017-08-21,-0.025861395180167168,-0.0038155538899502517
2017-08-22,-0.011189295817718103,-0.0012864868497178827
2017-08-23,-0.014615456178158182,0.0
2017-08-24,-0.017522530661143065,-0.0030850944290760074
2017-08-25,-0.019536571783089762,0.0
2017-08-28,-0.01653394838801292,-0.00032494636379154507
2017-08-29,-0.012674899714423371,0.0
2017-08-30,-0.001188652276873814,0.0
2017-08-31,0.0,0.0
2017-09-01,-0.0014245161186359212,-0.003606722029939169
2017-09-05,-0.010152507406866795,0.0
2017-09-06,-0.007226607144187658,-0.0018727525588695393
2017-09-07,-0.004829624751118922,0.0
2017-09-08,-0.01338426518303737,-0.0017341082188951917
2017-09-11,-0.002242887702787244,-0.003576133257200298
2017-09-12,0.0,-0.00497707639255085
2017-09-13,0.0,-0.0069345470493912265
2017-09-14,-0.005776557336947263,-0.004820959039811612
2017-09-15,-0.00239096372856773,-0.0040028028293891404
2017-09-18,-0.0037374727289313237,-0.006234514905996691
2017-09-19,-0.0020651859949931684,-0.007141314369735974
2017-09-20,-0.005107171086336293,-0.0065934960936097076
2017-09-21,-0.011145716328664124,-0.008092599155927749
2017-09-22,-0.012067686603898453,-0.00643480839851629
2017-09-25,-0.02231299882187343,-0.003911417749005608
2017-09-26,-0.01982117441949105,-0.004638807677469936
2017-09-27,-0.011212272842751392,-0.011202692368074585
2017-09-28,-0.011577198117053267,-0.012297354688552642
2017-09-29,-0.004507038423390841,-0.009512380179581559
2017-10-02,-0.003639970502125389,-0.008602349778813578
2017-10-03,-0.0015290872804627487,-0.007125246603268076
2017-10-04,-0.0005787361165192628,-0.006555760634323393
2017-10-05,0.0,-0.005999695133808269
2017-10-06,0.0,-0.00805533373658518
2017-10-09,-0.0011120886390449947,-0.007052976726893312
2017-10-10,-0.00035745410558329915,-0.004999415951309594
2017-10-11,0.0,-0.003234895682618588
2017-10-12,-0.0017673441215997343,-0.0015482476706212278
2017-10-13,0.0,0.0
2017-10-16,0.0,0.0
2017-10-17,0.0,0.0
2017-10-18,-0.0012563095588620232,-0.0032148434851154706
2017-10-19,-0.004893087604068147,-0.002128145296856343
2017-10-20,-0.0023301941122291225,-0.005695335739355434
2017-10-23,-0.00875878744745684,-0.006448958050948694
2017-10-24,-0.007154372947213772,-0.009079417765129993
2017-10-25,-0.0109212354004109,-0.013889696601404045
2017-10-26,-0.014072892293360506,-0.015148673668173629
2017-10-27,0.0,-0.007916901346602057
2017-10-30,0.0,-0.004300179871533638
2017-10-31,0.0,-0.003427419135890397
2017-11-01,-0.00028278867753883663,-0.00038528921712466246
2017-11-02,-0.0021286782303769902,0.0
2017-11-03,0.0,0.0
2017-11-06,0.0,0.0
2017-11-07,0.0,0.0
2017-11-08,0.0,-0.0004611779695105067
2017-11-09,-0.005219547619455089,-0.003658758220244751
2017-11-10,-0.005423285449604909,-0.012112672582625161
2017-11-13,-0.004185799475121432,-0.010556394405705438
2017-11-14,-0.007713133962572005,-0.007884849757152868
2017-11-15,-0.012229886583640548,-0.00413595929379218
2017-11-16,0.0,-0.0051412413003640856
2017-11-17,-0.0037129832664514195,-0.002365574580009855
2017-11-20,-0.004484402734388437,-0.0018278051555243868
2017-11-21,0.0,0.0
2017-11-22,0.0,0.0
2017-11-24,0.0,-0.0004905201191387487
2017-11-27,-0.0004571206765555669,-0.0014985312899158387
2017-11-28,0.0,0.0
2017-11-29,-0.017351616393780245,-0.005753502020142354
2017-11-30,-0.00921964398503794,-0.0037090307089994168
2017-12-01,-0.013269118163460325,0.0
2017-12-04,-0.024520838364382236,-0.00029267192463078295
