portfolio_id,annualized_return_%,annualized_volatility_%,sharpe_ratio,SPY_weight_%,QQQ_weight_%,TLT_weight_%
2196,18.3481,20.7963,0.738,12.5098,85.9954,1.4948
2197,10.397,12.619,0.5862,11.2092,45.8387,42.9522
2198,8.3054,11.2187,0.4729,26.2902,24.2102,49.4996
2199,13.7061,15.6771,0.6829,35.8704,45.2476,18.8819
2200,8.1395,11.5798,0.4438,7.3629,36.9316,55.7056
2201,13.3822,16.2013,0.6408,75.6859,15.0099,9.3042
2202,11.6075,14.3823,0.5985,81.4238,1.722,16.8542
2203,6.0181,10.6307,0.2839,28.7716,10.6093,60.6191
2204,16.1701,18.2408,0.722,17.9456,70.8402,11.2142
2205,14.6155,16.407,0.708,7.6118,70.2197,22.1685
2206,14.6933,17.4361,0.6706,64.653,29.7006,5.6464
2207,14.4469,16.3023,0.7022,19.5848,60.7592,19.656
2208,17.7079,19.8794,0.7399,2.2826,90.0243,7.6931
2209,8.6604,11.2822,0.5017,59.3588,2.3215,38.3196
2210,4.9991,11.4912,0.174,9.086,19.4658,71.4482
2211,14.8506,16.7677,0.7068,21.475,61.4896,17.0354
2212,7.7451,10.7353,0.442,47.7383,5.9278,46.3339
2213,13.7034,17.2203,0.6216,94.31,3.3087,2.3813
2214,6.3586,10.6292,0.316,29.4734,11.8659,58.6607
2215,12.5009,15.1403,0.6275,73.8336,11.7844,14.382
2216,15.0301,16.8487,0.714,6.8122,72.9363,20.2515
2217,15.4379,17.9338,0.6935,49.0487,44.743,6.2083
2218,12.6839,15.3624,0.6304,74.4268,12.3043,13.2689
2219,8.8822,11.4369,0.5143,59.2883,3.5179,37.1938
2220,10.8282,13.2608,0.5903,69.0993,6.5363,24.3645
2221,13.1737,15.3899,0.6611,53.3027,29.9899,16.7074
2222,13.2462,15.0227,0.682,15.5675,57.4361,26.9964
2223,8.0887,11.3171,0.4496,16.9097,29.8196,53.2707
2224,12.6532,14.9813,0.6443,60.9852,21.7888,17.226
2225,12.1949,14.9323,0.6158,78.3979,6.9284,14.6736
2226,10.2524,12.4007,0.5848,22.9821,36.6455,40.3724
2227,11.433,14.0412,0.6006,75.9173,4.7705,19.3122
2228,12.3818,14.5912,0.643,56.4805,23.6181,19.9014
2229,4.2806,11.5939,0.1105,12.2432,13.4878,74.269
2230,9.6427,12.0248,0.5524,19.557,35.9516,44.4914
2231,6.0647,10.774,0.2845,23.9338,14.3212,61.7449
2232,14.8957,17.8593,0.6661,70.6538,26.4417,2.9045
2233,9.2231,11.6316,0.535,33.9167,23.4814,42.6019
2234,9.537,11.9009,0.5493,24.832,31.6211,43.5468
2235,10.2332,12.3483,0.5858,31.8071,30.2148,37.9781
2236,6.7395,10.6053,0.3526,32.6738,11.5382,55.7879
2237,8.7461,11.3122,0.508,54.9824,5.9041,39.1136
2238,14.8978,17.2694,0.689,48.3393,42.4609,9.1997
2239,3.4168,11.9495,0.0349,13.2758,8.2828,78.4414
2240,9.2705,11.6392,0.5387,40.6123,18.9229,40.4648
2241,3.334,11.6728,0.0286,20.1731,2.9071,76.9198
2242,7.9623,10.9373,0.4537,35.6392,15.7302,48.6306
2243,14.0532,16.3182,0.6774,50.072,36.8528,13.0752
2244,14.4652,16.2373,0.7061,3.3944,72.4687,24.1369
2245,14.9382,16.7843,0.7113,12.6221,68.2934,19.0845
2246,12.5532,14.3729,0.6647,24.6406,47.3458,28.0136
2247,17.6563,19.8753,0.7374,7.2672,86.1816,6.5512
2248,15.5284,18.5871,0.674,68.9189,30.9561,0.125
2249,4.4385,11.2377,0.128,19.0759,9.4019,71.5222
2250,8.9748,11.4992,0.5196,31.3421,24.0454,44.6125
2251,7.278,10.5954,0.4038,41.7994,7.7746,50.426
2252,7.1398,10.8344,0.3821,26.0633,18.349,55.5877
2253,12.5412,15.3254,0.6226,78.6165,8.5613,12.8222
2254,10.9838,12.9538,0.6163,27.5141,37.1737,35.3122
2255,1.1713,13.7569,-0.1329,8.5899,0.0404,91.3697
2256,7.0026,11.2409,0.3561,10.8861,28.5283,60.5856
2257,12.8833,14.6775,0.6734,5.788,62.5762,31.6357
2258,2.7919,12.2176,-0.017,15.2405,3.6442,81.1153
2259,15.6087,17.7124,0.7119,27.1771,61.3165,11.5063
2260,11.6694,13.595,0.6377,36.4342,34.3176,29.2482
2261,15.0963,18.312,0.6606,77.0807,22.8675,0.0518
2262,10.3168,12.6695,0.5775,63.6364,7.8127,28.5509
2263,13.2287,15.2311,0.6716,40.9728,39.1197,19.9075
2264,12.7361,14.8402,0.6561,49.5525,30.4191,20.0284
2265,12.1516,14.3792,0.6364,58.0995,21.2668,20.6337
2266,13.4658,15.2969,0.6842,24.7771,51.9638,23.259
2267,11.0381,13.1296,0.6122,49.5756,21.6274,28.797
2268,12.0472,14.9143,0.6066,83.1628,2.7467,14.0904
2269,8.6983,11.2668,0.5058,51.5746,8.1017,40.3237
2270,13.251,16.1229,0.6358,78.1006,12.5994,9.2999
2271,14.9165,17.8799,0.6665,70.4935,26.664,2.8424
2272,6.744,10.8862,0.3439,21.4591,19.607,58.9339
2273,12.4855,15.0333,0.631,70.5623,14.0514,15.3863
2274,3.3341,11.999,0.0278,13.1796,7.9245,78.8959
2275,16.4526,18.4679,0.7284,9.0347,78.6928,12.2725
2276,13.7541,17.191,0.6256,91.8959,5.3026,2.8015
2277,12.002,14.2411,0.6321,59.0591,19.8052,21.1357
2278,14.0738,16.9239,0.6543,72.5871,20.8072,6.6057
2279,6.786,10.5481,0.3589,35.962,9.4198,54.6182
2280,8.1288,10.942,0.4687,44.35,10.3413,45.3087
2281,13.8729,15.6441,0.695,11.2651,63.7615,24.9734
2282,14.5484,16.8776,0.6842,49.2895,39.9735,10.7369
2283,12.3708,15.1947,0.6167,80.6031,6.2554,13.1415
2284,16.7111,18.7052,0.733,2.2082,84.9265,12.8654
2285,12.4737,14.8272,0.6389,62.8226,19.5428,17.6346
2286,6.8152,11.5791,0.3295,1.2385,34.4812,64.2803
2287,7.5908,11.0616,0.415,21.1954,24.1723,54.6323
2288,14.386,16.2142,0.7022,16.8873,62.3795,20.7332
2289,14.4081,16.8732,0.6761,56.2331,34.267,9.4999
2290,9.4811,11.9962,0.5403,14.8269,38.5096,46.6635
2291,5.7527,10.326,0.2666,40.636,0.7264,58.6376
2292,7.7189,10.7144,0.4404,49.6014,4.4556,45.943
2293,8.2485,11.1685,0.4699,27.8986,22.7623,49.3391
2294,11.7947,13.991,0.6286,57.248,20.0333,22.7188
