,Strategy A,Strategy B,Strategy C
2016-07-18,1.1105533142041857,1.099310135452398,1.1158406080230423
2016-07-19,1.106507276267674,1.0967487342871916,1.1176780507505066
2016-07-20,1.1194344009211519,1.105438113109351,1.1180261403166174
2016-07-21,1.1168686246976836,1.1020833315937177,1.116397316126931
2016-07-22,1.1215067834381223,1.106843471122043,1.1201757826386323
2016-07-25,1.121605510535551,1.1053889869587958,1.1180273104346383
2016-07-26,1.1228882374601874,1.1062763771071678,1.1190465504324993
2016-07-27,1.1306843738215708,1.1095297212205877,1.1239081768274346
2016-07-28,1.1346311205058113,1.1121067633292294,1.1238557566663325
2016-07-29,1.1370982502254,1.1142136109361023,1.1286910388029974
2016-08-01,1.1431175406137082,1.1167007920038818,1.1232343731988246
2016-08-02,1.1344339886851487,1.108881826330891,1.1142877002198586
2016-08-03,1.1381836841422759,1.112334848304943,1.1164992811158203
2016-08-04,1.1414399858929047,1.1145180349260662,1.1205678231468035
2016-08-05,1.152393777501037,1.124423307174596,1.1214060105198318
2016-08-08,1.151110728202205,1.1234624983669044,1.1218505710332622
2016-08-09,1.1537754733037495,1.1250976372702182,1.126665656519595
2016-08-10,1.150814627503467,1.1222616845410693,1.1267355455244306
2016-08-11,1.155748886942644,1.1272715481839215,1.1258533324313689
2016-08-12,1.1565380589736847,1.12716672038244,1.1290593451512638
2016-08-15,1.1614725601935083,1.1311966339688568,1.1267574149987403
2016-08-16,1.155058361415484,1.1251559079287532,1.122068815602415
2016-08-17,1.1571305021518075,1.127223410739305,1.126026995201734
2016-08-18,1.1574263610698987,1.1286322297762525,1.1282550113085212
2016-08-19,1.1571305021518075,1.1276628741283097,1.1249024679752901
2016-08-22,1.1580187236544726,1.1280699527393285,1.1286668396334343
2016-08-23,1.1600907032036982,1.1302146219082956,1.1305144982329025
2016-08-24,1.1525912316958955,1.1236711694688652,1.1259793548687596
2016-08-25,1.1507161421866852,1.122370263559785,1.123805236586092
2016-08-26,1.1523937775010373,1.122131431118834,1.1199191455759916
2016-08-29,1.1539726857179606,1.1256630982367606,1.129217855581806
2016-08-30,1.1502228290737357,1.1229062321239294,1.1263613079580155
2016-08-31,1.1490389904336262,1.1207315454199127,1.1250843351869362
2016-09-01,1.151999191485517,1.1222009292829556,1.125611468180408
2016-09-02,1.155748886942644,1.1265567890203452,1.124983956106498
