,Strategy A,Strategy B,Strategy C
2023-05-01,-0.19434200446231353,-0.15261985937777367,-0.1740174583829479
2023-05-02,-0.20136857952169618,-0.16107704495015018,-0.17135421806784357
2023-05-03,-0.20659480490270454,-0.1667012135920386,-0.17291677623064716
2023-05-04,-0.20939540062343154,-0.17112298069175103,-0.17969988108906654
2023-05-05,-0.1925916709693012,-0.15464207570268007,-0.17167965200050073
2023-05-08,-0.19059117888459565,-0.15348218986820494,-0.17619055527535366
2023-05-09,-0.19571737189488025,-0.15801887878370824,-0.1795370826905044
2023-05-10,-0.18696531610539802,-0.15147069999261276,-0.17405222274816
2023-05-11,-0.18431461361098833,-0.15082740627365698,-0.17142383163214725
2023-05-12,-0.18724040512488827,-0.15290672222865487,-0.17484903822531572
2023-05-15,-0.18283944680235031,-0.14915202470452638,-0.17655955068116735
2023-05-16,-0.18191406970827195,-0.1515131991124543,-0.18085074415446345
2023-05-17,-0.17201202997988785,-0.14122834784776062,-0.17584011600242977
2023-05-18,-0.15663329561926553,-0.1291167444048722,-0.17351886450259602
2023-05-19,-0.1585339106630157,-0.1307316452540943,-0.17657814238346192
2023-05-22,-0.1557082291847237,-0.1290956397771581,-0.17755035250155826
2023-05-23,-0.16641083853843386,-0.13950263880837188,-0.18214141758684976
2023-05-24,-0.17068667873268295,-0.1448266202921752,-0.18731558474208476
2023-05-25,-0.15050708956128023,-0.13071930498789008,-0.1839013434141581
2023-05-26,-0.1288020844012252,-0.11398519799752549,-0.17492321806918953
2023-05-30,-0.12485127174694388,-0.11180737988021616,-0.1714371991431587
2023-05-31,-0.12982733853625894,-0.11679506767632097,-0.17130489842369623
2023-06-01,-0.1197750949220211,-0.10749804547009756,-0.1652803231372426
2023-06-02,-0.11317365743821417,-0.09769793361715395,-0.16169656628022655
2023-06-05,-0.11254861045095921,-0.09824450843086596,-0.16328505202640065
2023-06-06,-0.11269850367727652,-0.09733890577038162,-0.1602192468864898
2023-06-07,-0.12775182217351033,-0.10655643450921859,-0.16694782163239186
2023-06-08,-0.11692448301593206,-0.09830919561668727,-0.16002675193410565
2023-06-09,-0.11354885649331192,-0.09577688148573171,-0.15958341466871961
2023-06-12,-0.09857040694535246,-0.08403597770160387,-0.1540192697436571
2023-06-13,-0.0916437865918095,-0.07749732682447774,-0.15401635556555127
2023-06-14,-0.08504211611335044,-0.07359583676235926,-0.1507037359240171
2023-06-15,-0.07413967501284513,-0.06233380830579882,-0.14112276375652555
2023-06-16,-0.07996601695331174,-0.06688101766477628,-0.1442121778833837
2023-06-20,-0.08128329105256982,-0.06996965451951775,-0.1445074261433843
2023-06-21,-0.09380310336450437,-0.0786892712638475,-0.1463093451031766
2023-06-22,-0.08311121176480041,-0.07159132148781677,-0.14858209304521242
2023-06-23,-0.09220056614593863,-0.07970250297838488,-0.14904876432255476
2023-06-26,-0.10436995450080389,-0.08775101829334953,-0.15077245738489897
2023-06-27,-0.08897032828635798,-0.07490772022406056,-0.14607292344840572
2023-06-28,-0.0871925014243734,-0.0737717815017086,-0.14435775221043734
2023-06-29,-0.08902049980148807,-0.07287388624454638,-0.14851157121381098
2023-06-30,-0.07497301921926247,-0.06025526912797974,-0.1384654336865605
2023-07-03,-0.07279459688507861,-0.05860818285378622,-0.139824394063074
2023-07-05,-0.07281976030752768,-0.059320938374450294,-0.14386133462136597
2023-07-06,-0.07988097390521987,-0.0665860021102801,-0.1527272039326213
2023-07-07,-0.08293576679161352,-0.06931380439810753,-0.15605068471446082
2023-07-10,-0.08263535901990604,-0.06798350289178268,-0.15432598626671834
